extract01_negative
extract02_negative
extract04_negative
idt_prep02_negative
Tur_aby_83107_S_IDT
Tur_aby_83107_S_KAPA
Tur_aby_83107_S_SRSLY
Tur_aby_83107_T_IDT
Tur_aby_83107_T_KAPA
Tur_aby_83107_T_SRSLY
Tur_aby_83109_S_IDT
Tur_aby_83109_S_KAPA
Tur_aby_83109_S_SRSLY
Tur_aby_83109_T_IDT
Tur_aby_83109_T_KAPA
Tur_aby_83109_T_SRSLY
Tur_aby_83114A_S_IDT
Tur_aby_83114A_S_KAPA
Tur_aby_83114A_S_SRSLY
Tur_aby_83114A_T_IDT
Tur_aby_83114A_T_KAPA
Tur_aby_83114A_T_SRSLY
Tur_aby_83114B_S_IDT
Tur_aby_83114B_S_KAPA
Tur_aby_83114B_S_SRSLY
Tur_aby_83114B_T_IDT
Tur_aby_83114B_T_KAPA
Tur_aby_83114B_T_SRSLY
Tur_aby_83115_S_IDT
Tur_aby_83115_S_KAPA
Tur_aby_83115_S_SRSLY
Tur_aby_83115_T_IDT
Tur_aby_83115_T_KAPA
Tur_aby_83115_T_SRSLY
Tur_mig_162188A_S_IDT
Tur_mig_162188A_S_KAPA
Tur_mig_162188A_S_SRSLY
Tur_mig_162188A_T_IDT
Tur_mig_162188A_T_KAPA
Tur_mig_162188A_T_SRSLY
Tur_mig_162188B_S_IDT
Tur_mig_162188B_S_KAPA
Tur_mig_162188B_S_SRSLY
Tur_mig_162188B_T_IDT
Tur_mig_162188B_T_KAPA
Tur_mig_162188B_T_SRSLY
Tur_mig_175413_S_IDT
Tur_mig_175413_S_KAPA
Tur_mig_175413_S_SRSLY
Tur_mig_175413_T_IDT
Tur_mig_175413_T_KAPA
Tur_mig_175413_T_SRSLY
Tur_mig_175421_S_IDT
Tur_mig_175421_S_KAPA
Tur_mig_175421_S_SRSLY
Tur_mig_175421_T_IDT
Tur_mig_175421_T_KAPA
Tur_mig_175421_T_SRSLY
Tur_mig_66823_S_IDT
Tur_mig_66823_S_KAPA
Tur_mig_66823_S_SRSLY
Tur_mig_66823_T_IDT
Tur_mig_66823_T_KAPA
Tur_mig_66823_T_SRSLY
